epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.29555,1.42791,3.44087,1.49432,0.00286,0.85714,0.34463,0.15795,1.18138,3.18083,1.2621,8e-05,8e-05,8e-05
2,6.56547,1.43722,3.17452,1.4932,0.00333,1,0.76867,0.44907,1.13463,2.82836,1.2655,0.000178218,0.000178218,0.000178218
3,7.44836,1.47674,1.85821,1.31205,0.00333,1,0.86903,0.47828,1.14637,2.70921,1.21542,0.000274456,0.000274456,0.000274456
4,8.2456,1.47253,1.86349,1.26785,0.00333,1,0.89917,0.50988,1.09842,2.79193,1.17166,0.000368714,0.000368714,0.000368714
5,9.03974,1.39346,1.5633,1.21639,0.00302,0.90476,0.75497,0.47426,1.30029,2.75672,1.29675,0.000460992,0.000460992,0.000460992
6,9.81553,1.37169,1.54181,1.25955,0.00302,0.90476,0.72278,0.38579,1.62189,3.04755,1.57486,0.00055129,0.00055129,0.00055129
7,10.5977,1.32176,1.67,1.28929,0.95089,0.92264,0.93784,0.56182,1.15994,2.49615,1.18286,0.000639608,0.000639608,0.000639608
8,11.3999,1.1399,1.43167,1.16771,0.94862,0.90476,0.92043,0.61485,1.21167,2.38348,1.18452,0.000725946,0.000725946,0.000725946
9,12.3253,1.08016,1.39176,1.16057,0.92237,0.56618,0.86316,0.42062,1.53724,2.75762,1.35158,0.000810304,0.000810304,0.000810304
10,13.0838,1.39347,1.44298,1.26659,0.6494,0.44167,0.51359,0.17639,2.08694,3.07137,1.82588,0.000892682,0.000892682,0.000892682
11,13.8481,1.25663,1.42924,1.21682,0.82336,0.66593,0.77125,0.32771,1.85925,2.69169,1.43009,0.00097308,0.00097308,0.00097308
12,14.6157,1.30107,1.38053,1.24216,0.93026,0.63594,0.82343,0.33356,1.97993,2.63061,1.60036,0.0010515,0.0010515,0.0010515
13,15.3548,1.27678,1.27583,1.17559,0.54064,0.2381,0.42154,0.12983,2.05853,3.05026,1.66898,0.00112794,0.00112794,0.00112794
14,16.1266,1.20681,1.24806,1.19433,0.47645,0.14286,0.27244,0.10498,1.95487,3.27499,1.70848,0.00120239,0.00120239,0.00120239
15,16.8744,1.05102,1.26432,1.09008,0.75059,0.71663,0.72481,0.30845,1.68106,2.54929,1.30596,0.00127487,0.00127487,0.00127487
